time,ee_x,ee_y,ee_z,tgt_x,tgt_y,tension_N,pos_error_m,cable_taut,cable_dist_m
3.3400,0.43921,0.09215,0.39404,0.44121,0.09147,0.5009,0.00911,0,0.37242
3.3600,0.43551,0.09318,0.40766,0.44121,0.09147,1.0017,0.02018,0,0.37629
3.3800,0.43061,0.09434,0.42040,0.44121,0.09147,1.4543,0.03085,0,0.38180
3.4000,0.42455,0.09561,0.43219,0.44121,0.09147,1.8636,0.04116,0,0.38877
3.4200,0.41738,0.09700,0.44299,0.44121,0.09147,2.2290,0.05123,0,0.39706
3.4400,0.40915,0.09849,0.45280,0.44121,0.09147,2.5492,0.06117,0,0.40651
3.4600,0.39993,0.10010,0.46165,0.44121,0.09147,2.8240,0.07112,0,0.41699
3.4800,0.38979,0.10181,0.46957,0.44121,0.09147,3.0548,0.08120,0,0.42834
3.5000,0.37885,0.10362,0.47661,0.44121,0.09147,3.2443,0.09149,0,0.44043
3.5200,0.36720,0.10551,0.48286,0.44121,0.09147,3.3958,0.10207,0,0.45312
3.5400,0.35496,0.10747,0.48837,0.44121,0.09147,3.5131,0.11297,0,0.46628
3.5600,0.34223,0.10948,0.49322,0.44121,0.09147,3.6002,0.12421,1,0.47982
3.5800,0.32912,0.11154,0.49748,0.44121,0.09147,116.4218,0.13575,1,0.49363
3.6000,0.32567,0.11170,0.50032,0.44121,0.09147,53.9797,0.13844,1,0.49752
3.6200,0.32784,0.11150,0.50325,0.44121,0.09147,18.8473,0.13646,1,0.49601
3.6400,0.32899,0.11210,0.50675,0.44121,0.09147,17.2352,0.13577,1,0.49580
3.6600,0.32934,0.11312,0.51038,0.44121,0.09147,20.7305,0.13587,1,0.49649
3.6800,0.32969,0.11424,0.51388,0.44121,0.09147,20.3240,0.13593,1,0.49720
3.7000,0.33018,0.11537,0.51718,0.44121,0.09147,18.6418,0.13578,1,0.49777
3.7200,0.33066,0.11648,0.52024,0.44121,0.09147,18.0740,0.13551,1,0.49831
3.7400,0.33112,0.11755,0.52303,0.44121,0.09147,17.5227,0.13510,1,0.49880
3.7600,0.33157,0.11855,0.52552,0.44121,0.09147,16.9597,0.13455,1,0.49924
3.7800,0.33198,0.11947,0.52772,0.44121,0.09147,16.4594,0.13386,1,0.49963
3.8000,0.33235,0.12031,0.52963,0.44121,0.09147,15.9798,0.13305,1,0.49997
3.8200,0.33268,0.12106,0.53125,0.44121,0.09147,15.5075,0.13211,1,0.50027
3.8400,0.33296,0.12173,0.53260,0.44121,0.09147,15.0420,0.13107,1,0.50052
3.8600,0.33320,0.12231,0.53369,0.44121,0.09147,14.5817,0.12994,1,0.50074
3.8800,0.33339,0.12281,0.53456,0.44121,0.09147,14.1263,0.12874,1,0.50092
3.9000,0.33353,0.12323,0.53521,0.44121,0.09147,13.6773,0.12750,1,0.50106
3.9200,0.33364,0.12359,0.53568,0.44121,0.09147,13.2364,0.12622,1,0.50117
3.9400,0.33371,0.12388,0.53599,0.44121,0.09147,12.8053,0.12494,1,0.50126
3.9600,0.33375,0.12412,0.53617,0.44121,0.09147,12.3858,0.12367,1,0.50133
3.9800,0.33377,0.12430,0.53624,0.44121,0.09147,11.9794,0.12243,1,0.50138
4.0000,0.33377,0.12444,0.53624,0.44121,0.09147,11.5877,0.12123,1,0.50141
4.0200,0.33376,0.12454,0.53619,0.44121,0.09147,11.2118,0.12008,1,0.50143
4.0400,0.33374,0.12460,0.53611,0.44121,0.09147,10.8526,0.11901,1,0.50145
4.0600,0.33372,0.12464,0.53603,0.44121,0.09147,10.5111,0.11801,1,0.50146
4.0800,0.33369,0.12465,0.53598,0.44121,0.09147,10.1879,0.11709,1,0.50147
4.1000,0.33368,0.12465,0.53597,0.44121,0.09147,9.8837,0.11626,1,0.50148
4.1200,0.33367,0.12463,0.53603,0.44121,0.09147,9.5989,0.11551,1,0.50149
4.1400,0.33368,0.12460,0.53617,0.44121,0.09147,9.3339,0.11484,1,0.50152
4.1600,0.33371,0.12456,0.53642,0.44121,0.09147,9.0890,0.11425,1,0.50155
4.1800,0.33376,0.12451,0.53680,0.44121,0.09147,8.8647,0.11373,1,0.50160
4.2000,0.33383,0.12446,0.53730,0.44121,0.09147,8.6610,0.11327,1,0.50166
4.2200,0.33393,0.12441,0.53796,0.44121,0.09147,8.4785,0.11286,1,0.50173
4.2400,0.33405,0.12435,0.53878,0.44121,0.09147,8.3173,0.11250,1,0.50183
4.2600,0.33421,0.12429,0.53978,0.44121,0.09147,8.1778,0.11216,1,0.50194
4.2800,0.33440,0.12423,0.54095,0.44121,0.09147,8.0603,0.11185,1,0.50208
4.3000,0.33463,0.12416,0.54232,0.44121,0.09147,7.9653,0.11154,1,0.50224
4.3200,0.33490,0.12409,0.54388,0.44121,0.09147,7.8933,0.11122,1,0.50242
4.3400,0.33520,0.12401,0.54565,0.44121,0.09147,7.8448,0.11089,1,0.50262
4.3600,0.33555,0.12392,0.54763,0.44121,0.09147,7.8205,0.11053,1,0.50285
4.3800,0.33595,0.12383,0.54981,0.44121,0.09147,7.8209,0.11014,1,0.50311
4.4000,0.33639,0.12372,0.55221,0.44121,0.09147,7.8469,0.10970,1,0.50340
4.4200,0.33688,0.12359,0.55482,0.44121,0.09147,7.8992,0.10921,1,0.50371
4.4400,0.33743,0.12345,0.55765,0.44121,0.09147,7.9785,0.10866,1,0.50405
4.4600,0.33803,0.12329,0.56068,0.44121,0.09147,8.0856,0.10804,1,0.50442
4.4800,0.33869,0.12310,0.56393,0.44121,0.09147,8.2211,0.10735,1,0.50481
4.5000,0.33941,0.12288,0.56738,0.44121,0.09147,8.3854,0.10659,1,0.50523
4.5200,0.34019,0.12262,0.57103,0.44121,0.09147,8.5789,0.10576,1,0.50568
4.5400,0.34104,0.12233,0.57487,0.44121,0.09147,8.8015,0.10484,1,0.50615
4.5600,0.34195,0.12200,0.57890,0.44121,0.09147,9.0530,0.10385,1,0.50665
4.5800,0.34294,0.12162,0.58311,0.44121,0.09147,9.3324,0.10279,1,0.50717
4.6000,0.34400,0.12119,0.58749,0.44121,0.09147,9.6382,0.10165,1,0.50771
4.6200,0.34513,0.12070,0.59202,0.44121,0.09147,9.9682,0.10044,1,0.50828
4.6400,0.34634,0.12016,0.59669,0.44121,0.09147,10.3192,0.09917,1,0.50885
4.6600,0.34762,0.11955,0.60149,0.44121,0.09147,10.6871,0.09784,1,0.50944
4.6800,0.34898,0.11888,0.60639,0.44121,0.09147,11.0665,0.09646,1,0.51005
4.7000,0.35041,0.11814,0.61138,0.44121,0.09147,11.4509,0.09502,1,0.51066
4.7200,0.35191,0.11733,0.61644,0.44121,0.09147,11.8325,0.09356,1,0.51127
4.7400,0.35347,0.11645,0.62154,0.44121,0.09147,12.2025,0.09206,1,0.51188
4.7600,0.35510,0.11550,0.62666,0.44121,0.09147,12.5510,0.09053,1,0.51249
4.7800,0.35678,0.11449,0.63177,0.44121,0.09147,12.8677,0.08900,1,0.51310
4.8000,0.35851,0.11341,0.63684,0.44121,0.09147,13.1425,0.08745,1,0.51369
4.8200,0.36027,0.11228,0.64185,0.44121,0.09147,13.3657,0.08590,1,0.51426
4.8400,0.36206,0.11109,0.64678,0.44121,0.09147,13.5295,0.08436,1,0.51481
4.8600,0.36386,0.10987,0.65158,0.44121,0.09147,13.6281,0.08282,1,0.51535
4.8800,0.36567,0.10862,0.65625,0.44121,0.09147,13.6590,0.08130,1,0.51585
4.9000,0.36747,0.10736,0.66075,0.44121,0.09147,13.6230,0.07978,1,0.51633
4.9200,0.36925,0.10610,0.66507,0.44121,0.09147,13.5244,0.07827,1,0.51678
4.9400,0.37100,0.10485,0.66920,0.44121,0.09147,13.3707,0.07677,1,0.51720
4.9600,0.37272,0.10363,0.67312,0.44121,0.09147,13.1720,0.07527,1,0.51760
4.9800,0.37439,0.10245,0.67684,0.44121,0.09147,12.9398,0.07377,1,0.51796
5.0000,0.37601,0.10133,0.68034,0.44121,0.09147,12.6864,0.07227,1,0.51829
5.0200,0.37758,0.10028,0.68364,0.44121,0.09147,12.4231,0.07076,1,0.51860
5.0400,0.37909,0.09930,0.68675,0.44121,0.09147,12.1602,0.06924,1,0.51889
5.0600,0.38056,0.09841,0.68966,0.44121,0.09147,11.9064,0.06771,1,0.51915
5.0800,0.38197,0.09762,0.69240,0.44121,0.09147,11.6678,0.06616,1,0.51940
5.1000,0.38334,0.09691,0.69498,0.44121,0.09147,11.4490,0.06460,1,0.51962
5.1200,0.38467,0.09630,0.69741,0.44121,0.09147,11.2524,0.06303,1,0.51983
5.1400,0.38597,0.09579,0.69972,0.44121,0.09147,11.0791,0.06144,1,0.52003
5.1600,0.38723,0.09537,0.70191,0.44121,0.09147,10.9290,0.05984,1,0.52021
5.1800,0.38848,0.09504,0.70401,0.44121,0.09147,10.8009,0.05822,1,0.52039
5.2000,0.38971,0.09480,0.70602,0.44121,0.09147,10.6935,0.05660,1,0.52055
5.2200,0.39093,0.09463,0.70797,0.44121,0.09147,10.6047,0.05497,1,0.52071
5.2400,0.39214,0.09453,0.70986,0.44121,0.09147,10.5325,0.05334,1,0.52086
5.2600,0.39335,0.09449,0.71171,0.44121,0.09147,10.4750,0.05170,1,0.52101
