time,ee_x,ee_y,ee_z,tgt_x,tgt_y,tension_N,pos_error_m,cable_taut,cable_dist_m
3.3400,0.43921,0.09215,0.39404,0.44121,0.09147,0.4993,0.01063,0,0.37242
3.3600,0.43552,0.09318,0.40765,0.44121,0.09146,0.9970,0.02353,0,0.37628
3.3800,0.43063,0.09433,0.42035,0.44121,0.09144,1.4478,0.03592,0,0.38176
3.4000,0.42460,0.09560,0.43206,0.44121,0.09142,1.8576,0.04784,0,0.38871
3.4200,0.41744,0.09698,0.44273,0.44121,0.09138,2.2259,0.05934,0,0.39696
3.4400,0.40921,0.09846,0.45235,0.44121,0.09134,2.5512,0.07053,0,0.40639
3.4600,0.39994,0.10006,0.46094,0.44121,0.09129,2.8327,0.08154,0,0.41686
3.4800,0.38973,0.10176,0.46851,0.44121,0.09123,3.0714,0.09248,0,0.42822
3.5000,0.37866,0.10356,0.47514,0.44121,0.09117,3.2693,0.10345,0,0.44033
3.5200,0.36685,0.10544,0.48087,0.44121,0.09110,3.4294,0.11455,0,0.45308
3.5400,0.35439,0.10738,0.48579,0.44121,0.09101,3.5551,0.12584,0,0.46633
3.5600,0.34140,0.10937,0.48995,0.44121,0.09093,3.6498,0.13734,1,0.47997
3.5800,0.32812,0.11136,0.49342,0.44121,0.09083,151.1538,0.14895,1,0.49376
3.6000,0.32539,0.11132,0.49531,0.44121,0.09072,49.0611,0.15144,1,0.49672
3.6200,0.32725,0.11114,0.49727,0.44121,0.09061,19.4018,0.15047,1,0.49528
3.6400,0.32811,0.11174,0.49966,0.44121,0.09049,17.7954,0.15064,1,0.49507
3.6600,0.32824,0.11274,0.50202,0.44121,0.09036,21.4318,0.15143,1,0.49566
3.6800,0.32839,0.11383,0.50413,0.44121,0.09023,20.5601,0.15206,1,0.49620
3.7000,0.32863,0.11493,0.50591,0.44121,0.09008,19.0038,0.15243,1,0.49660
3.7200,0.32885,0.11601,0.50732,0.44121,0.08993,18.4565,0.15259,1,0.49695
3.7400,0.32903,0.11705,0.50833,0.44121,0.08977,17.8910,0.15251,1,0.49725
3.7600,0.32917,0.11803,0.50893,0.44121,0.08960,17.3408,0.15220,1,0.49747
3.7800,0.32926,0.11892,0.50912,0.44121,0.08943,16.8585,0.15165,1,0.49764
3.8000,0.32929,0.11973,0.50890,0.44121,0.08924,16.4014,0.15088,1,0.49775
3.8200,0.32928,0.12044,0.50830,0.44121,0.08905,15.9596,0.14990,1,0.49781
3.8400,0.32921,0.12106,0.50732,0.44121,0.08885,15.5321,0.14874,1,0.49781
3.8600,0.32910,0.12160,0.50600,0.44121,0.08865,15.1164,0.14741,1,0.49776
3.8800,0.32894,0.12204,0.50436,0.44121,0.08843,14.7122,0.14594,1,0.49767
3.9000,0.32875,0.12240,0.50243,0.44121,0.08821,14.3200,0.14437,1,0.49754
3.9200,0.32852,0.12267,0.50024,0.44121,0.08798,13.9409,0.14271,1,0.49738
3.9400,0.32828,0.12287,0.49783,0.44121,0.08774,13.5761,0.14099,1,0.49718
3.9600,0.32801,0.12300,0.49522,0.44121,0.08750,13.2267,0.13925,1,0.49696
3.9800,0.32773,0.12306,0.49245,0.44121,0.08724,12.8938,0.13751,1,0.49672
4.0000,0.32745,0.12306,0.48955,0.44121,0.08698,12.5784,0.13579,1,0.49645
4.0200,0.32717,0.12301,0.48655,0.44121,0.08671,12.2814,0.13412,1,0.49618
4.0400,0.32689,0.12290,0.48348,0.44121,0.08644,12.0032,0.13252,1,0.49589
4.0600,0.32662,0.12275,0.48036,0.44121,0.08615,11.7444,0.13101,1,0.49559
4.0800,0.32637,0.12256,0.47723,0.44121,0.08586,11.5051,0.12961,1,0.49529
4.1000,0.32612,0.12234,0.47410,0.44121,0.08556,11.2853,0.12831,1,0.49499
4.1200,0.32590,0.12208,0.47100,0.44121,0.08525,11.0845,0.12714,1,0.49469
4.1400,0.32568,0.12179,0.46795,0.44121,0.08494,10.9024,0.12611,1,0.49439
4.1600,0.32549,0.12148,0.46497,0.44121,0.08462,10.7381,0.12520,1,0.49410
4.1800,0.32531,0.12115,0.46208,0.44121,0.08429,10.5909,0.12443,1,0.49382
4.2000,0.32515,0.12079,0.45929,0.44121,0.08395,10.4596,0.12379,1,0.49354
4.2200,0.32501,0.12043,0.45662,0.44121,0.08360,10.3431,0.12328,1,0.49328
4.2400,0.32488,0.12004,0.45408,0.44121,0.08325,10.2402,0.12289,1,0.49302
4.2600,0.32476,0.11965,0.45169,0.44121,0.08289,10.1496,0.12261,1,0.49278
4.2800,0.32466,0.11924,0.44945,0.44121,0.08252,10.0700,0.12244,1,0.49256
4.3000,0.32457,0.11883,0.44738,0.44121,0.08215,10.0002,0.12235,1,0.49234
4.3200,0.32448,0.11840,0.44547,0.44121,0.08176,9.9390,0.12235,1,0.49215
4.3400,0.32440,0.11797,0.44375,0.44121,0.08137,9.8852,0.12242,1,0.49196
4.3600,0.32433,0.11754,0.44220,0.44121,0.08097,9.8378,0.12255,1,0.49179
4.3800,0.32425,0.11709,0.44085,0.44121,0.08057,9.7959,0.12272,1,0.49164
4.4000,0.32419,0.11664,0.43968,0.44121,0.08016,9.7585,0.12293,1,0.49151
4.4200,0.32412,0.11618,0.43871,0.44121,0.07974,9.7251,0.12317,1,0.49139
4.4400,0.32405,0.11572,0.43794,0.44121,0.07931,9.6949,0.12342,1,0.49129
4.4600,0.32398,0.11525,0.43736,0.44121,0.07887,9.6674,0.12368,1,0.49120
4.4800,0.32390,0.11478,0.43697,0.44121,0.07843,9.6422,0.12394,1,0.49113
4.5000,0.32383,0.11430,0.43679,0.44121,0.07798,9.6190,0.12419,1,0.49108
4.5200,0.32375,0.11381,0.43679,0.44121,0.07752,9.5976,0.12443,1,0.49104
4.5400,0.32367,0.11332,0.43699,0.44121,0.07706,9.5778,0.12466,1,0.49102
4.5600,0.32358,0.11282,0.43738,0.44121,0.07659,9.5596,0.12486,1,0.49102
4.5800,0.32349,0.11231,0.43795,0.44121,0.07611,9.5430,0.12503,1,0.49103
4.6000,0.32340,0.11179,0.43870,0.44121,0.07562,9.5280,0.12518,1,0.49106
4.6200,0.32330,0.11127,0.43963,0.44121,0.07513,9.5149,0.12530,1,0.49111
4.6400,0.32321,0.11073,0.44073,0.44121,0.07462,9.5037,0.12539,1,0.49117
4.6600,0.32311,0.11019,0.44200,0.44121,0.07412,9.4948,0.12545,1,0.49125
4.6800,0.32301,0.10963,0.44343,0.44121,0.07360,9.4885,0.12548,1,0.49135
4.7000,0.32291,0.10907,0.44502,0.44121,0.07308,9.4850,0.12549,1,0.49146
4.7200,0.32282,0.10849,0.44675,0.44121,0.07255,9.4848,0.12546,1,0.49159
4.7400,0.32273,0.10790,0.44863,0.44121,0.07201,9.4881,0.12541,1,0.49173
4.7600,0.32264,0.10730,0.45065,0.44121,0.07147,9.4954,0.12534,1,0.49189
4.7800,0.32256,0.10668,0.45279,0.44121,0.07091,9.5071,0.12525,1,0.49206
4.8000,0.32248,0.10606,0.45506,0.44121,0.07036,9.5236,0.12514,1,0.49225
4.8200,0.32241,0.10541,0.45744,0.44121,0.06979,9.5453,0.12502,1,0.49245
4.8400,0.32235,0.10475,0.45992,0.44121,0.06922,9.5724,0.12489,1,0.49266
4.8600,0.32230,0.10408,0.46251,0.44121,0.06864,9.6053,0.12475,1,0.49289
4.8800,0.32225,0.10339,0.46519,0.44121,0.06805,9.6444,0.12461,1,0.49313
4.9000,0.32222,0.10268,0.46796,0.44121,0.06746,9.6897,0.12447,1,0.49339
4.9200,0.32221,0.10196,0.47080,0.44121,0.06686,9.7416,0.12433,1,0.49365
4.9400,0.32220,0.10122,0.47371,0.44121,0.06625,9.8000,0.12419,1,0.49393
4.9600,0.32221,0.10046,0.47668,0.44121,0.06564,9.8650,0.12406,1,0.49422
4.9800,0.32223,0.09968,0.47970,0.44121,0.06501,9.9364,0.12395,1,0.49452
5.0000,0.32227,0.09888,0.48277,0.44121,0.06439,10.0142,0.12385,1,0.49483
5.0200,0.32232,0.09806,0.48588,0.44121,0.06375,10.0980,0.12376,1,0.49515
5.0400,0.32238,0.09723,0.48901,0.44121,0.06311,10.1874,0.12369,1,0.49548
5.0600,0.32246,0.09637,0.49217,0.44121,0.06246,10.2821,0.12363,1,0.49581
5.0800,0.32256,0.09550,0.49535,0.44121,0.06181,10.3813,0.12360,1,0.49615
5.1000,0.32267,0.09460,0.49853,0.44121,0.06114,10.4845,0.12358,1,0.49649
5.1200,0.32279,0.09369,0.50171,0.44121,0.06047,10.5909,0.12359,1,0.49684
5.1400,0.32293,0.09276,0.50488,0.44121,0.05980,10.6996,0.12361,1,0.49720
5.1600,0.32308,0.09180,0.50804,0.44121,0.05912,10.8099,0.12366,1,0.49755
5.1800,0.32324,0.09083,0.51118,0.44121,0.05843,10.9206,0.12372,1,0.49791
5.2000,0.32342,0.08984,0.51429,0.44121,0.05773,11.0308,0.12380,1,0.49826
5.2200,0.32360,0.08884,0.51736,0.44121,0.05703,11.1395,0.12390,1,0.49862
5.2400,0.32380,0.08781,0.52039,0.44121,0.05632,11.2456,0.12401,1,0.49897
5.2600,0.32400,0.08677,0.52336,0.44121,0.05561,11.3481,0.12414,1,0.49932
5.2800,0.32421,0.08571,0.52629,0.44121,0.05489,11.4460,0.12427,1,0.49967
5.3000,0.32443,0.08464,0.52915,0.44121,0.05416,11.5383,0.12441,1,0.50001
5.3200,0.32465,0.08355,0.53195,0.44121,0.05343,11.6240,0.12456,1,0.50035
5.3400,0.32488,0.08245,0.53467,0.44121,0.05269,11.7024,0.12472,1,0.50068
5.3600,0.32511,0.08134,0.53732,0.44121,0.05194,11.7727,0.12487,1,0.50100
5.3800,0.32533,0.08022,0.53989,0.44121,0.05118,11.8341,0.12502,1,0.50131
5.4000,0.32556,0.07908,0.54237,0.44121,0.05043,11.8861,0.12517,1,0.50161
5.4200,0.32579,0.07794,0.54477,0.44121,0.04966,11.9284,0.12531,1,0.50191
5.4400,0.32601,0.07679,0.54707,0.44121,0.04889,11.9604,0.12545,1,0.50219
5.4600,0.32623,0.07563,0.54928,0.44121,0.04811,11.9822,0.12557,1,0.50246
5.4800,0.32644,0.07447,0.55139,0.44121,0.04732,11.9935,0.12568,1,0.50272
5.5000,0.32664,0.07330,0.55340,0.44121,0.04653,11.9945,0.12578,1,0.50296
5.5200,0.32684,0.07213,0.55532,0.44121,0.04574,11.9854,0.12586,1,0.50320
5.5400,0.32702,0.07096,0.55714,0.44121,0.04493,11.9664,0.12592,1,0.50342
5.5600,0.32720,0.06978,0.55886,0.44121,0.04413,11.9379,0.12597,1,0.50363
5.5800,0.32737,0.06861,0.56048,0.44121,0.04331,11.9005,0.12599,1,0.50383
5.6000,0.32752,0.06743,0.56201,0.44121,0.04249,11.8546,0.12600,1,0.50401
5.6200,0.32766,0.06626,0.56345,0.44121,0.04166,11.8010,0.12599,1,0.50419
5.6400,0.32780,0.06508,0.56479,0.44121,0.04083,11.7403,0.12597,1,0.50435
5.6600,0.32792,0.06391,0.56605,0.44121,0.03999,11.6732,0.12592,1,0.50450
5.6800,0.32803,0.06274,0.56722,0.44121,0.03915,11.6005,0.12585,1,0.50464
5.7000,0.32812,0.06158,0.56831,0.44121,0.03830,11.5230,0.12577,1,0.50476
5.7200,0.32821,0.06041,0.56932,0.44121,0.03744,11.4415,0.12568,1,0.50488
5.7400,0.32828,0.05925,0.57026,0.44121,0.03658,11.3566,0.12556,1,0.50499
5.7600,0.32835,0.05810,0.57113,0.44121,0.03571,11.2693,0.12544,1,0.50509
