time,ee_x,ee_y,ee_z,tgt_x,tgt_y,tension_N,pos_error_m,cable_taut,cable_dist_m
3.3400,0.43918,0.09216,0.39409,0.44121,0.09349,0.5277,0.00639,0,0.37245
3.3600,0.43540,0.09325,0.40787,0.44118,0.09600,1.0218,0.01014,0,0.37641
3.3800,0.43048,0.09453,0.42084,0.44115,0.09851,1.4537,0.02375,0,0.38199
3.4000,0.42452,0.09599,0.43290,0.44110,0.10102,1.8380,0.03719,0,0.38895
3.4200,0.41758,0.09766,0.44401,0.44103,0.10354,2.1794,0.05021,0,0.39714
3.4400,0.40970,0.09955,0.45412,0.44094,0.10605,2.4793,0.06283,0,0.40641
3.4600,0.40094,0.10167,0.46324,0.44085,0.10856,2.7387,0.07509,0,0.41663
3.4800,0.39136,0.10402,0.47138,0.44073,0.11107,2.9588,0.08708,0,0.42767
3.5000,0.38103,0.10661,0.47857,0.44060,0.11358,3.1416,0.09885,0,0.43940
3.5200,0.37004,0.10943,0.48487,0.44045,0.11609,3.2897,0.11047,0,0.45171
3.5400,0.35847,0.11247,0.49030,0.44029,0.11860,3.4060,0.12201,0,0.46449
3.5600,0.34643,0.11572,0.49494,0.44011,0.12110,3.4939,0.13349,1,0.47763
3.5800,0.33400,0.11915,0.49885,0.43992,0.12361,3.5564,0.14494,1,0.49104
3.6000,0.32789,0.12130,0.50147,0.43971,0.12611,71.5929,0.15107,1,0.49789
3.6200,0.32995,0.12244,0.50361,0.43948,0.12862,21.8250,0.15090,1,0.49666
3.6400,0.33152,0.12453,0.50615,0.43924,0.13112,18.4289,0.15138,1,0.49624
3.6600,0.33226,0.12730,0.50868,0.43898,0.13362,20.4876,0.15245,1,0.49678
3.6800,0.33290,0.13036,0.51090,0.43871,0.13612,21.2620,0.15339,1,0.49747
3.7000,0.33371,0.13355,0.51273,0.43842,0.13861,19.4940,0.15394,1,0.49796
3.7200,0.33454,0.13687,0.51409,0.43812,0.14111,18.8877,0.15416,1,0.49840
3.7400,0.33537,0.14027,0.51496,0.43780,0.14360,18.4061,0.15401,1,0.49877
3.7600,0.33618,0.14371,0.51528,0.43746,0.14609,17.8856,0.15348,1,0.49907
3.7800,0.33697,0.14718,0.51507,0.43711,0.14858,17.4243,0.15255,1,0.49930
3.8000,0.33773,0.15065,0.51431,0.43675,0.15107,16.9885,0.15123,1,0.49946
3.8200,0.33845,0.15412,0.51301,0.43636,0.15355,16.5633,0.14953,1,0.49955
3.8400,0.33914,0.15756,0.51118,0.43597,0.15603,16.1506,0.14744,1,0.49958
3.8600,0.33979,0.16098,0.50886,0.43555,0.15851,15.7509,0.14500,1,0.49955
3.8800,0.34042,0.16436,0.50606,0.43512,0.16099,15.3655,0.14223,1,0.49947
3.9000,0.34103,0.16771,0.50282,0.43468,0.16346,14.9971,0.13914,1,0.49935
3.9200,0.34163,0.17100,0.49917,0.43422,0.16593,14.6478,0.13577,1,0.49918
3.9400,0.34223,0.17425,0.49516,0.43374,0.16840,14.3196,0.13215,1,0.49897
3.9600,0.34283,0.17745,0.49082,0.43325,0.17087,14.0138,0.12832,1,0.49874
3.9800,0.34345,0.18060,0.48619,0.43275,0.17333,13.7312,0.12432,1,0.49848
4.0000,0.34410,0.18369,0.48131,0.43222,0.17579,13.4720,0.12016,1,0.49819
4.0200,0.34479,0.18674,0.47623,0.43169,0.17824,13.2359,0.11591,1,0.49790
4.0400,0.34552,0.18973,0.47099,0.43113,0.18069,13.0221,0.11159,1,0.49759
4.0600,0.34629,0.19267,0.46562,0.43057,0.18314,12.8292,0.10723,1,0.49727
4.0800,0.34713,0.19557,0.46016,0.42998,0.18559,12.6555,0.10288,1,0.49695
4.1000,0.34802,0.19841,0.45466,0.42938,0.18803,12.4992,0.09857,1,0.49663
4.1200,0.34898,0.20122,0.44914,0.42877,0.19046,12.3579,0.09433,1,0.49631
4.1400,0.34999,0.20398,0.44364,0.42814,0.19290,12.2294,0.09019,1,0.49600
4.1600,0.35108,0.20670,0.43819,0.42749,0.19533,12.1113,0.08618,1,0.49570
4.1800,0.35222,0.20939,0.43281,0.42683,0.19775,12.0015,0.08233,1,0.49540
4.2000,0.35343,0.21204,0.42754,0.42616,0.20017,11.8977,0.07867,1,0.49512
4.2200,0.35470,0.21465,0.42240,0.42547,0.20259,11.7983,0.07521,1,0.49485
4.2400,0.35602,0.21724,0.41741,0.42476,0.20500,11.7015,0.07196,1,0.49459
4.2600,0.35738,0.21979,0.41259,0.42404,0.20741,11.6062,0.06896,1,0.49434
4.2800,0.35880,0.22231,0.40796,0.42331,0.20981,11.5114,0.06619,1,0.49411
4.3000,0.36024,0.22480,0.40353,0.42255,0.21221,11.4164,0.06367,1,0.49390
4.3200,0.36172,0.22727,0.39932,0.42179,0.21460,11.3210,0.06139,1,0.49370
4.3400,0.36323,0.22970,0.39534,0.42101,0.21699,11.2252,0.05934,1,0.49351
4.3600,0.36475,0.23211,0.39160,0.42021,0.21938,11.1291,0.05752,1,0.49334
