t_sec,T_des_target_N,T_des_active_N,T_meas_N,ee_x_m,ee_y_m,ee_z_m,ee_des_x_m,ee_des_y_m,ee_des_z_m
1779787781.4358292,10.0,0.020008960000000003,0.003548126610594501,0.24754442151602657,-0.010843475026821809,0.5531147908680433,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.445836,10.0,0.040032768,0.009224151029448385,0.2475430838004323,-0.010836831396064546,0.5531155303316324,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.4558425,10.0,0.06003900200000001,0.012151974253275733,0.24754217873396753,-0.010827038467994782,0.5531125601409794,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.4659238,10.0,0.079950094,0.020010353540587448,0.2475411247907395,-0.010812134255838624,0.5531063263471379,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.475882,10.0,0.10024682199999997,0.030855798506891116,0.24753929005493272,-0.010795280092832826,0.5531014676350202,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.4858441,10.0,0.12007303399999995,0.032922585157943496,0.24753864431284395,-0.010776411962520884,0.5530986246602302,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.4958587,10.0,0.14007435799999993,0.04044504918082416,0.2475399929360039,-0.010753790902301892,0.5530933245202863,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.5058184,10.0,0.16007979199999994,0.040149736251774065,0.24754277011749307,-0.010731172068599066,0.5530909969107379,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.5158145,10.0,0.18000290799999988,0.03886773074568069,0.24754389468281082,-0.010707665395791195,0.5530846047078783,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.5258362,10.0,0.20016628199999995,0.04281680298516986,0.24754577583521242,-0.010689028311669627,0.5530789553598867,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.5358129,10.0,0.22033037599999997,0.04472830121423025,0.24754692748511067,-0.010669964561832546,0.5530741524840126,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.5458703,10.0,0.24008925999999992,0.04454577018403084,0.2475480438443378,-0.010650560049354522,0.5530722137627014,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.5558798,10.0,0.26021263599999994,0.05016671486346385,0.24754727866756024,-0.01063556683571537,0.5530688285771822,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.5658453,10.0,0.28000925199999993,0.05317863113838669,0.24754745104547718,-0.010620536909287874,0.5530647595134937,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.575842,10.0,0.3000267879999999,0.053496880395020895,0.24754793714416956,-0.01061215616776725,0.5530601898730675,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.58581,10.0,0.3199490619999998,0.05451485161182461,0.247548187352407,-0.010600656953361562,0.5530611022626635,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.5958333,10.0,0.3399886199999997,0.0613839240790557,0.24754773740875485,-0.010590261142773815,0.5530572092340795,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.6058376,10.0,0.3600103639999997,0.060459403612807154,0.24754864372786733,-0.010586578624588157,0.5530566306240009,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.615814,10.0,0.37997012999999974,0.0616908693147358,0.24754854029004397,-0.010582266080083873,0.5530549184126573,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.6258228,10.0,0.40008024199999964,0.06396146825606404,0.24754941081295231,-0.010579757843747357,0.5530569786163129,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.6358297,10.0,0.42013588999999957,0.06183711041393925,0.2475485453707175,-0.010577273901998294,0.5530536748389939,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.645893,10.0,0.44000119599999954,0.05486726568245627,0.24754861418189092,-0.01057680205257649,0.5530541934658288,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.655854,10.0,0.46004339999999955,0.0462080951720378,0.24754815908093866,-0.01057493323687019,0.5530558824896004,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.665892,10.0,0.47999284599999964,0.04459440662710484,0.24754859115842276,-0.01057380399971164,0.5530532003463378,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.6758578,10.0,0.5000074159999996,0.039067809419788824,0.2475476022812319,-0.010571801176709424,0.5530528761203573,0.24754494657087256,-0.010846458000035305,0.553115630809717
1779787781.6858745,10.0,0.5200594779999996,0.039162109905189625,0.24754743735941648,-0.010572805837104095,0.5530530797935019,0.24754494657087256,-0.010846458000035305,0.553115630809717
